CASE#,DATE  OF OCCURRENCE,BLOCK,IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE421943,10/25/2021 12:00:00 PM,018XX W FULLERTON AVE,560,ASSAULT,SIMPLE,CTA BUS,N,N,1931,32,08A,,,,,
JE421824,10/25/2021 12:00:00 PM,002XX E 51ST ST,560,ASSAULT,SIMPLE,OTHER (SPECIFY),N,N,231,3,08A,1178637,1871259,41.80203725,-87.62039045,"(41.802037251, -87.620390452)"
JE391597,09/28/2021 8:00:00 PM,007XX W OHIO ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1214,27,6,,,,,
JF112591,09/24/2021 12:00:00 AM,015XX S KARLOV AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,N,N,1012,24,11,,,,,
JF146587,12/24/2021 10:47:00 PM,014XX S BLUE ISLAND AVE,460,BATTERY,SIMPLE,POLICE FACILITY / VEHICLE PARKING LOT,Y,N,1233,25,08B,,,,,
JF129769,01/29/2022 11:55:00 PM,019XX W Fulton ST,810,THEFT,OVER $500,STREET,N,N,1223,27,6,,,,,
JF314800,11/01/2021 12:00:00 AM,018XX E 95TH ST,810,THEFT,OVER $500,APARTMENT,N,N,431,7,6,,,,,
JF279679,12/15/2021 12:00:00 PM,012XX W FOSTER AVE,890,THEFT,FROM BUILDING,RESIDENCE,N,N,2033,47,6,,,,,
JF133425,12/26/2021 12:50:00 PM,005XX N LECLAIRE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,1532,37,11,,,,,
JF128810,01/29/2022 12:02:00 PM,059XX N MANTON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,1622,39,11,,,,,
JF129790,01/29/2022 7:35:00 PM,002XX S WABASH AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,113,42,6,,,,,
JF238175,05/11/2022 11:25:00 AM,002XX W MADISON ST,860,THEFT,RETAIL THEFT,DRUG STORE,N,N,122,42,6,,,,,
JE423027,10/25/2021 5:15:00 PM,0000X W CONGRESS PKWY,1320,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,N,N,113,4,14,,,,,
JE422292,10/25/2021 1:20:00 PM,068XX S NORMAL BLVD,545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC BUILDING,N,N,722,6,08A,1174130,1859520,41.76992556,-87.63726788,"(41.769925563, -87.637267875)"
JE422370,10/25/2021 6:56:00 PM,030XX W 63RD ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,N,Y,823,16,26,1157293,1862709,41.779034,-87.69889919,"(41.779033998, -87.698899187)"
JE428955,10/31/2021 12:10:00 PM,059XX N BROADWAY,820,THEFT,$500 AND UNDER,TAVERN / LIQUOR STORE,N,N,2433,48,6,1167224,1939784,41.99032672,-87.66027496,"(41.990326718, -87.660274955)"
JE421907,10/25/2021 11:30:00 AM,076XX S PULASKI RD,890,THEFT,FROM BUILDING,ATHLETIC CLUB,N,N,833,18,6,1151008,1853861,41.75487857,-87.72217132,"(41.754878573, -87.722171321)"
JE423322,10/25/2021 2:00:00 AM,053XX W BELDEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2515,36,7,1140251,1914772,41.92223033,-87.76010362,"(41.922230332, -87.760103622)"
JE422273,10/25/2021 5:40:00 PM,132XX S FORRESTVILLE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,CHA APARTMENT,N,N,533,9,04B,1182323,1817550,41.65456872,-87.60853111,"(41.65456872, -87.60853111)"
JE422485,10/25/2021 9:38:00 PM,014XX W GARFIELD BLVD,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,Y,N,713,16,18,1167500,1868133,41.79370537,-87.66132387,"(41.793705373, -87.661323868)"
JF133671,12/31/2021 11:59:00 PM,023XX W 64TH ST,810,THEFT,OVER $500,SCHOOL - PUBLIC BUILDING,N,N,825,16,6,,,,,
JE424863,10/25/2021 12:00:00 AM,064XX S STEWART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,722,20,14,1174731,1862267,41.77745027,-87.63498311,"(41.777450272, -87.634983111)"
